Position (mm),Current (A)
4.978,-75.36518926173117
4.978,-2.3201350372058345
4.978,-2.3202876589075996
4.978,-2.3203918554448326
4.978,-2.320782006780947
4.978,-2.3207612995175197
4.978,-2.320749214702037
4.978,-2.3206018621191333
4.978,-2.3205712062497215
4.978,-2.3203928547137225
3.897,-2.3202593307664827
3.897,-2.3204217223872194
3.897,-2.3206368874617485
3.897,-2.3207934743455207
3.897,-2.320577622201665
3.897,-2.3206877110279107
3.897,-2.320915807650678
3.897,-2.32069421341434
3.897,-2.320762846354118
3.897,-2.3207780172261874
2.79,-2.3207015185229207
2.79,-2.321075274461372
2.79,-2.3208709612173104
2.79,-2.3209326361796183
2.79,-2.321031452117277
2.79,-2.320375080756118
2.79,-2.320228814095952
2.79,-2.3200280184611985
2.79,-2.32006977803253
2.79,-2.3200149110909978
1.679,-2.320124579234816
1.679,-2.320277763629081
1.679,-2.3202902922756725
1.679,-2.3204835543370836
1.679,-2.3208260283237596
1.679,-2.3203665009497803
1.679,-2.3207265792498264
1.679,-2.320497518624039
1.679,-2.320699889104427
1.679,-2.3207888732001307
0.569,-2.3202418993932765
0.569,-2.3203566950488237
0.569,-2.320283168467125
0.569,-2.3207854531788694
0.569,-2.320335568483628
0.569,-2.3204639024347298
0.569,-2.320024819660853
0.569,-2.319799142341704
0.569,-2.3195264313063726
0.569,-2.3196416969699114
-0.529,-2.3201125502728477
-0.529,-2.319759111117711
-0.529,-2.319868534223219
-0.529,-2.3201911616902224
-0.529,-2.3208487180657214
-0.529,-2.3200577111056933
-0.529,-2.320780330468392
-0.529,-2.320768699956005
-0.529,-2.320084051631283
-0.529,-2.320353126643337
-1.649,-2.3200918668645247
-1.649,-2.320071165043659
-1.649,-2.3205798083485227
-1.649,-2.3199802701918477
-1.649,-2.3199097643242066
-1.649,-2.3194870023883363
-1.649,-2.3192625392176476
-1.649,-2.3204986415309703
-1.649,-2.3200453502348695
-1.649,-2.3198597442370685
-2.744,-2.3201798915313576
-2.744,-2.3206040643362025
-2.744,-2.3206498636014588
-2.744,-2.320645475777856
-2.744,-2.3205060668373436
-2.744,-2.320405586288824
-2.744,-2.3199635889030543
-2.744,-2.320295966930244
-2.744,-2.3201642711948276
-2.744,-2.3205763412971314
-3.863,-2.3205771499519767
-3.863,-2.3206272377118617
-3.863,-2.320532301022375
-3.863,-2.3205716916592105
-3.863,-2.3206206489086565
-3.863,-2.3205963573867243
-3.863,-2.3205209952190105
-3.863,-2.320289583423088
-3.863,-2.3204930528879175
-3.863,-2.319968135594447
-4.959,-2.3204708710675765
-4.959,-2.320133585141088
-4.959,-2.320233202464077
-4.959,-2.3205134119331525
-4.959,-2.3207624424229807
-4.959,-2.3203516632932004
-4.959,-2.3205008796893756
-4.959,-2.3205363755042336
-4.959,-2.3208997443994135
-4.959,-2.3207888728640715
